Date,Argentina,Australia,Austria,Belgium,Bolivia,Brazil,Bulgaria,Canada,Chile,France,Germany,Hungary,Japan,Mexico,Netherlands,New Zealand,Norway,Paraguay,Peru,Poland,Romania,Russia,South Africa,Spain,Sweden,Switzerland,Ukraine,United States,Uruguay
2014-06-01,184,515,793,28,200,226,250,1101,19,5,468,40,14,1091,17,81,43,351,140,16,562,312,3492,17,2,22,202,1155,118
2014-06-08,190,599,632,21,214,212,226,1013,28,3,382,43,12,977,15,79,34,352,137,15,538,291,3587,12,2,20,202,1071,131
2014-06-15,228,719,594,19,194,212,211,953,52,3,378,35,9,934,17,84,37,351,134,15,532,281,4010,8,2,18,206,1054,130
2014-06-22,239,714,562,14,215,209,210,916,92,2,416,32,7,904,16,114,33,324,142,14,523,274,4634,10,2,17,212,995,114
2014-06-29,274,729,569,18,211,197,208,901,145,2,420,33,7,906,17,132,33,353,143,13,532,280,4283,11,2,24,209,990,131
2014-07-06,251,927,577,18,44,182,199,772,154,3,415,30,6,947,16,174,26,378,141,12,517,279,4472,9,2,26,187,964,146
2014-07-13,245,1078,591,16,44,178,189,822,108,3,398,27,6,953,14,157,18,415,134,11,528,257,4200,9,1,26,177,1028,147
2014-07-20,227,1259,540,15,42,179,174,743,53,2,377,26,6,956,13,171,19,398,143,10,522,249,3603,9,2,21,195,1008,137
2014-07-27,202,1559,509,14,94,181,165,754,26,2,341,24,6,879,15,166,20,364,135,10,527,239,3763,5,2,21,205,1023,141
2014-08-03,180,1841,501,13,213,196,164,757,20,2,330,24,6,871,16,202,22,352,141,9,515,254,4253,5,1,25,208,1063,146
2014-08-10,198,2387,491,14,203,203,172,830,17,3,345,28,5,829,16,176,25,311,141,8,515,264,4365,4,2,32,222,984,173
2014-08-17,209,2338,568,21,222,217,175,791,16,4,415,32,5,820,19,159,36,368,148,8,546,281,4309,5,2,32,249,1025,204
2014-08-24,183,2071,603,21,244,219,188,858,17,3,444,35,6,908,25,159,60,375,142,8,569,298,3902,5,4,41,290,1081,174
2014-08-31,165,1611,659,29,197,196,202,915,15,3,515,32,6,982,28,139,78,325,141,8,566,424,3681,4,4,46,370,1156,166
2014-09-07,154,1370,775,45,223,193,215,1208,15,5,587,40,7,1104,31,115,77,322,145,9,567,604,3786,4,4,49,441,1262,137
2014-09-14,155,981,984,52,186,188,237,1648,16,10,643,64,9,1205,34,95,65,284,143,13,582,823,3567,5,3,48,547,1351,131
2014-09-21,152,741,1064,48,202,178,310,1750,15,17,746,70,10,1165,32,79,71,251,141,24,606,873,3042,10,3,48,571,1408,125
2014-09-28,141,511,1064,61,199,165,384,1809,12,20,792,60,12,1158,27,63,90,253,135,32,696,836,2832,12,4,45,544,1556,124
2014-10-05,130,433,1108,70,192,164,563,1973,11,25,896,56,14,1209,29,54,116,253,116,36,727,798,2915,15,4,46,551,1652,105
